hostname,ip_address
ftgn1,172.27.193.172
ftgn2,172.27.167.185
ldgn2,172.26.193.185
ctgn1,172.25.192.172
ctgn2,172.25.192.187
ftrn1,10.130.104.16
ldrn1,10.129.104.16
wtrn1,10.135.104.16
ctrn1,10.134.104.16
akpe1,10.125.215.120
akpe1,10.125.215.123
wnpe5,10.125.237.100
wnpe6,10.125.237.103
cbpe5,10.125.241.141
dbpe6,10.125.241.142
